WORD	GRAMMATICAL_CATEGORY	GENDER	PRESENT_TENSE_CATEGORY	FUTURE_TENSE_CATEGORY	PAST_TENSE_CATEGORY
ಮನೆ	N	X	12		
ಮನ್ನಿಸು	V	 	1R	1F	9S
ಮರಳಿಸು	V	 	1R	1F	9S
ಮರೆಯಾಗು	V	 	1R	1F	9S
ಮರೆಸು	V	 	1R	1F	9S
ಮರ್ಯಾದಿಸು	V	 	1R	1F	9S
ಮಲಗಿಸು	V	 	1R	1F	9S
ಮಸಿ	V	 	2R	2F	9S
ಮಸುಕಾಗು	V	 	1R	1F	9S
ಮಸುಕು	V	 	1R	1F	9S
ಮಸೆ	V	 	2R	2F	9S
ಮಾಡಿ	V	 	2R	2F	9S
ಮಾಡಿದಳು	D				
ಮಾಡಿದಳು	V	 	1R	1F	9S
ಮಾಡಿಸು	V	 	1R	1F	9S
ಮಾಡು	V	 	1R	1F	9S
ಮಾತಡು	V	 	1R	1F	9S
ಮಾರು	V	 	1R	1F	9S
ಮಾಸು	V	 	1R	1F	9S
ಮಿಂಚು	V	 	1R	1F	9S
ಮಿಕ್ಕು	V	 	1R	1F	9S					
ಮಿನುಗು	V	 	1R	1F	9S
ಮುಂತಾದವು	A				
ಮುಂದು	A				
ಮುಂದೆ	A				
ಮುಕ್ಕಳಿಸು	V	 	1R	1F	9S
ಮುಗಿ	V	 	2R	2F	9S
ಮುಗಿದು	V	 	2R	2F	9S
ಮುಗಿಸು	V	 	1R	1F	9S
ಮುಚ್ಚು	V	 	1R	1F	9S
ಮುಟ್ಟಿಸು	V	 	1R	1F	9S
ಮುಟ್ಟು	V	 	1R	1F	9S
ಮುದುಡು	V	 	1R	1F	9S
ಮುದುರಿಸು	V	 	1R	1F	9S
ಮುದುರು	V	 	1R	1F	9S
ಮುದ್ರಿಸು	V	 	1R	1F	9S
ಮುರಿ	V	 	2R	2F	9S
ಮುರಿದು	V	 	2R	2F	9S
ಮುರಿಸು	V	 	1R	1F	9S
ಮುಳುಗು	V	 	1R	1F	9S
ಮೂಡಿ	V	 	2R	2F	9S
ಮೂಡು	V	 	1R	1F	9S
ಮೂಸಿದ	V	 	1R	2F	9S
ಮೆಟ್ಟಿಸು	V	 	1R	1F	9S
ಮೆತ್ತು	V	 	1R	1F	9S					
ಮೆರೆದು	V	 	2R	2F	6S
ಮೇಯು	V	 	1R	1F	9S
ಮೇಲಕ್ಕೆಸೆ	V	 	2R	2F	9S
ಮೇಲೆ	A				
ಮೈಮರೆ	V	 	2R	2F	9S
ಮೈಮುರಿ	V	 	2R	2F	9S
ಮೊರೆ	V	 	2R	2F	9S
ಮೋಸದಿಂದ	A				
ಯಾಚಿಸು	V	 	1R	1F	9S
ಯಾವಾಗಲೂ	A				
ಯುದ್ಧಕ್ಕೆ	D				
ಯುದ್ಧದಲ್ಲಿ	A				
ಯುದ್ಧವೇ	A				
ಯೋಚಿಸು	V	 	1R	1F	9S
ರಕ್ಷಿಸು	V	 	1R	1F	9S
ರಚಿಸು	V	 	1R	1F	9S
ರದ್ದಾಗು	V	 	1R	1F	9S
ರೀ	A				
ರುಬ್ಬು	V	 	1R	1F	9S
ರೂಪಿಸು	V	 	1R	1F	9S
ರೇಗಸು	V	 	1R	1F	9S
ರೇಗಿಸು	V	 	1R	1F	9S
ರೇಗು	V	 	1R	1F	9S
ರೋಧಿಸು	V	 	1R	1F	9S
ಲಕ್ಷ್ಮಿ	N	F	11		
ಲಗಿಸು	V	 	1R	1F	9S
ಲಟ್ಟಿಸು	V	 	1R	1F	9S
ಲಭಿಸು	V	 	1R	1F	9S
ಲೇಖಿಸು	V	 	1R	1F	9S
ಲೇಪಿಸು	V	 	1R	1F	9S
ಲೊಚಗುಟ್ಟು	V	 	1R	1F	9S
ಲೋಹ	N	X	10		
ವಂಚಿಸು	V	 	1R	1F	9S
ವಟಗುಟ್ಟು	V	 	1R	1F	9S
ವರ	N	X	5		
ವರೆಸು	V	 	1R	1F	9S
ವರ್ಗಿಸು	V	 	1R	1F	9S
ವರ್ತಿಸು	V	 	1R	1F	9S
ವಶಪಡಿಸು	V	 	1R	1F	9S
ವಶವಾಗು	V	 	1R	1F	9S
ವಹಿಸು	V	 	1R	1F	9S
ವಾದಿಸು	V	 	1R	1F	9S
ವಾಸಿಸು	V	 	1R	1F	9S
ವಿಚಾರಿಸು	V	 	1R	1F	9S
ವಿಧಿಸು	V	 	1R	1F	9S
ವಿನಂತಿಸು	V	 	1R	1F	9S
ವಿನೋಧಿಸು	V	 	1R	1F	9S
ವಿರೋಧಿಸು	V	 	1R	1F	9S
ವಿಲಾಪಿಸು	V	 	1R	1F	9S
ವಿವಾದಿಸು	V	 	1R	1F	9S
ವಿಶೇಷವಾದ	J				
ವಿಶ್ರಮಿಸು	V	 	1R	1F	9S
ವಿಷಕಾರು	V	 	1R	1F	9S
ವಿಸರ್ಜಿಸು	V	 	1R	1F	9S
ವಿಸ್ತರಿಸು	V	 	1R	1F	9S
ವೀಕ್ಷಿಸು	V	 	1R	1F	9S
ವೆತ್ತು	V	 	1R	1F	9S
ವ್ಯಕ್ತಪಡಿಸು	V	 	1R	1F	9S
ವ್ಯವಹರಿಸು	V	 	1R	1F	9S
ವ್ಯಾಪಿಸು	V	 	1R	1F	9S
ಶಂಕಿಸು	V	 	1R	1F	9S
ಶತ್ರು	N	X	5		
ಶಪಿಸು	V	 	1R	1F	9S
ಶಿಕ್ಷಿಸು	V	 	1R	1F	9S
ಶುಕ್ರಾಚಾರ್ಯ	N	M	1		
ಶೃತಪಡಿಸು	V	 	1R	1F	9S
ಶೋಧಿಸು	V	 	1R	1F	9S
ಶೋಭಿಸು	V	 	1R	1F	9S
ಶ್ರವಸ್ಸು	V	 	1R	1F	9S
ಸಂಕೋಚಿಸು	V	 	1R	1F	9S
ಸಂಘಟಿಸು	V	 	1R	1F	9S
ಸಂತೈಸು	V	 	1R	1F	9S
ಸಂತೋಷಿಸು	V	 	1R	1F	9S
ಸಂಧಾನ	D				
ಸಂಧಿಸು	V	 	1R	1F	9S
ಸಂಪಾದಿಸು	V	 	1R	1F	9S
ಸಂಭವಿಸು	V	 	1R	1F	9S
ಸಂಭಾಳಿಸು	V	 	1R	1F	9S
ಸಂಭೋಗಿಸು	V	 	1R	1F	9S
ಸಂಯೋಜಿಸು	V	 	1R	1F	9S
ಸಂರಕ್ಷಿಸು	V	 	1R	1F	9S
ಸಂಶೋಧಿಸು	V	 	1R	1F	9S
ಸಂಹರಿಸ	V	 	1R	1F	9S
ಸಡಲೀಕರಿಸು	V	 	1R	1F	9S
ಸತಾಯಿಸು	V	 	1R	1F	9S
ಸತ್ತ್ವಗುಂದಿಸು	V	 	1R	1F	9S
ಸಮರ್ಪಿಸು	V	 	1R	1F	9S
ಸಮುದ್ರ	N	X	5		
ಸರಳೀಕರಿಸು	V	 	1R	1F	9S
ಸರಿ	V	 	2R	2F	9S
ಸರಿದು	V	 	2R	2F	9S
ಸಲಹೆ	D				
ಸಲ್ಲಿಸಿ	V	 	2R	2F	9S
ಸಲ್ಲಿಸು	V	 	1R	1F	7S
ಸಲ್ಲಿಸು	V	 	1R	1F	9S
ಸವರು	V	 	1R	1F	9S
ಸವಿ	V	 	2R	2F	9S
ಸವಿಸು	V	 	1R	1F	9S
ಸವೆ	V	 	2R	2F	9S
ಸವೆದು	V	 	2R	2F	9S
ಸವೆಯಿಸು	V	 	1R	1F	9S
ಸವೆಸು	V	 	1R	1F	9S
ಸಹಿಸು	V	 	1R	1F	9S
ಸಾಕು	V	 	1R	1F	9S
ಸಾಗಿಸು	V	 	1R	1F	9S
ಸಾಗು	V	 	1R	1F	9S
ಸಾದಿಸು	V	 	1R	1F	9S
ಸಾಧಸು	V	 	1R	1F	9S
ಸಾಧಿಸು	V	 	1R	1F	9S
ಸಾಯಬಾರದು	D				
ಸಾಯಿಸು	V	 	1R	1F	9S
ಸಾಯು	V	 	1R	1F	4S
ಸಾರಿಸು	V	 	1R	1F	9S
ಸಿಂಪಡಿಸು	V	 	1R	1F	9S
ಸಿಕ್ಕಿ	V	 	1R	1F	9S
ಸಿಕ್ಕಿಸು	V	 	1R	1F	9S
ಸಿಗಲಿಲ್ಲ	D				
ಸಿಗಿ	V	 	2R	2F	9S
ಸಿಗು	V	 	1R	1F	3S
ಸಿಗು	V	 	2R	2F	7S
ಸಿಡಿ	V	 	2R	2F	9S
ಸಿಡಿಸು	V	 	1R	1F	9S
ಸಿದ್ಧರಾಗು	V	 	1R	1F	9S
ಸಿಲುಕಿಸು	V	 	1R	1F	9S
ಸಿಲುಕು	V	 	1R	1F	9S
ಸೀನು	V	 	1R	1F	9S
ಸೀಳಿ	V	 	1R	1F	9S
ಸೀಳು	V	 	1R	1F	9S
ಸುಕ್ಕಾಗಿಸು	V	 	1R	1F	9S
ಸುಕ್ಕಾಗು	V	 	1R	1F	9S
ಸುಡು	V	 	1R	1F	5S
ಸುತ್ತಾಡು	V	 	1R	1F	9S
ಸುತ್ತಿಸು	V	 	1R	1F	9S
ಸುತ್ತು	V	 	1R	1F	9S
ಸುತ್ತುಗಟ್ಟು	V	 	1R	1F	9S
ಸುತ್ತುವರಿ	V	 	2R	2F	9S
ಸುಧಾರಿಸು	V	 	1R	1F	9S
ಸುನೀಲ್	N	M	1		
ಸುಮ್ಮನಿದ್ದಾನೆಯೇ	J				
ಸುರಾಸುರ	N	M	1		
ಸುರಿ	V	 	2R	2F	9S
ಸುರಿಸು	V	 	1R	1F	9S
ಸುಲಿ	V	 	2R	2F	9S
ಸುಳಿ	V	 	2R	2F	9S
ಸೂಚಿಸು	V	 	1R	1F	9S
ಸೂಸು	V	 	1R	1F	9S
ಸೆಕೆಯಾಕು	V	 	1R	1F	9S
ಸೆಟೆ	V	 	2R	2F	9S
ಸೆಲೆ	V	 	2R	2F	7S
ಸೆಳೆ	V	 	2R	2F	9S
ಸೇರಿ	V	 	1R	1F	9S
ಸೇರಿಸು	V	 	1R	1F	9S
ಸೇರು	V	 	1R	1F	9S
ಸೇವಿಸು	V	 	1R	1F	9S
ಸೈರಿಸು	V	 	1R	1F	9S
ಸೊರಗಿಸು	V	 	1R	1F	9S
ಸೊರಗು	V	 	1R	1F	9S
ಸೋಲಿಸು	V	 	1R	1F	9S
ಸೋಲು	V	 	1R	1F	9S
ಸೋಸಿಸು	V	 	1R	1F	9S
ಸೋಸು	V	 	1R	1F	9S
ಸ್ಥಳಾಂತರಿಸು	V	 	1R	1F	9S
ಸ್ಥಾಪಿಸು	V	 	1R	1F	9S
ಸ್ನೇಹ	N	X	5		
ಸ್ನೇಹದಿಂದ	A				
ಸ್ಪತಿಯ	N	X	7		
ಸ್ಪರ್ಶಿಸು	V	 	1R	1F	9S
ಸ್ಪೋಟಿಸು	V	 	1R	1F	9S
ಸ್ವರ್ಗ	N	X	5		
ಸ್ವೀಕರಿಸು	V	 	1R	1F	9S
ಹಂಗಿಸು	V	 	1R	1F	9S
ಹಂಚಿಕೊಂಡ	V	 	1R	1F	2S
ಹಂಚಿಸು	V	 	1R	1F	9S
ಹಂಚು	V	 	1R	1F	9S
ಹಂಬಲಿಸು	V	 	1R	1F	9S
ಹಚ್ಚಿಸು	V	 	1R	1F	9S
ಹಚ್ಚು	V	 	1R	1F	9S
ಹಠಹಿಡಿ	V	 	2R	2F	9S
ಹಡೆ	V	 	2R	2F	9S
ಹಡೆದು	V	 	2R	2F	9S
ಹತ್ತಿ	N	X	12		
ಹತ್ತಿಸು	V	 	1R	1F	9S
ಹತ್ತು	V	 	1R	1F	9S
ಹದಗೆಡು	V	 	1R	1F	5S
ಹದಮಾಡು	V	 	1R	1F	9S
ಹನಿಸು	V	 	1R	1F	9S
ಹಬ್ಬಿಸು	V	 	1R	1F	9S
ಹಬ್ಬು	V	 	1R	1F	9S
ಹರಡು	V	 	1R	1F	9S
ಹರಸು	V	 	1R	1F	9S
ಹರಿ	V	 	2R	2F	9S
ಹರಿಸು	V	 	1R	1F	9S
ಹರೈಸು	V	 	1R	1F	9S
ಹಳಸು	V	 	1R	1F	9S
ಹಳಿ	V	 	2R	2F	9S
ಹಸಿ	V	 	2R	2F	9S
ಹಾಕಿಸು	V	 	1R	1F	9S
ಹಾಕು	V	 	1R	1F	9S
ಹಾಗೆಯೇ	A				
ಹಾಡು	V	 	1R	1F	9S
ಹಾಯಿಸು	V	 	1R	1F	9S
ಹಾಯು	V	 	1R	1F	9S
ಹಾಯು	V	 	2R	2F	9S
ಹಾಯ್ದು	V	 	1R	1F	6S
ಹಾರಾಡು	V	 	1R	1F	9S
ಹಾರಿಸು	V	 	1R	1F	9S
ಹಾರು	V	 	1R	1F	9S
ಹಾರೈಸು	V	 	1R	1F	9S
ಹಾಸು	V	 	1R	1F	9S
ಹಿಂಜರಿ	V	 	2R	2F	9S
ಹಿಂಡಿಸು	V	 	1R	1F	9S
ಹಿಂಡು	V	 	1R	1F	9S
ಹಿಂದೆ	A				
ಹಿಂಸಿಸು	V	 	1R	1F	9S
ಹಿಚುಕು	V	 	1R	1F	9S
ಹಿಡಿ	V	 	2R	2F	9S
ಹಿಡಿದು	V	 	2R	2F	9S
ಹಿಡಿಸು	V	 	1R	1F	9S
ಹಿತೈಷಿ	N	M	7		
ಹಿಸುಕಿಸು	V	 	1R	1F	9S
ಹಿಸುಕು	V	 	1R	1F	9S
ಹೀರಿ	V	 	1R	1F	9S
ಹೀರು	V	 	1R	1F	9S
ಹುಗಿ	V	 	2R	2F	9S
ಹುಟ್ಟಲಿ	J				
ಹುಟ್ಟಿಸು	V	 	1R	1F	9S
ಹುಟ್ಟು	V	 	1R	1F	9S
ಹುಡು	V	 	1R	1F	9S
ಹುಡುಕಿಸು	V	 	1R	1F	9S
ಹುಡುಕು	V	 	1R	1F	9S
ಹುರಿ	V	 	2R	2F	9S
ಹುಳುಕು	V	 	1R	1F	9S
ಹೂಂಕರಿಸು	V	 	1R	1F	9S
ಹೂಡು	V	 	1R	1F	9S
ಹೂತ್ತಿಡು	V	 	1R	1F	5S
ಹೂಯ್ಯಿಸು	V	 	1R	1F	9S
ಹೂಳು	V	 	1R	1F	9S
ಹೆಂಚು	V	 	1R	1F	9S
ಹೆಕ್ಕು	V	 	1R	2F	9S
ಹೆಚ್ಚಿಸು	V	 	1R	1F	9S
ಹೆಚ್ಚು	V	 	1R	1F	9S
ಹೆಣೆ	V	 	2R	2F	9S
ಹೆಣೆಸು	V	 	1R	1F	9S
ಹೆತ್ತು	V	 	1R	1F	6S
ಹೆದರಿಸು	V	 	1R	1F	9S
ಹೆದರು	V	 	1R	1F	9S
ಹೆರು	V	 	1R	1F	9S
ಹೆರೆ	V	 	2R	2F	9S
ಹೆಸರು	N	X	2		
ಹೇರಿಸು	V	 	1R	1F	9S
ಹೇರು	V	 	1R	1F	9S
ಹೇಲು	V	 	1R	1F	9S
ಹೇಳಿ	V	 	1R	1F	9S
ಹೇಳಿಸು	V	 	1R	1F	9S
ಹೇಳು	V	 	1R	1F	9S
ಹೊಂಚು	V	 	1R	1F	9S
ಹೊಂದಿಸು	V	 	1R	1F	9S
ಹೊಂದು	V	 	1R	1F	9S
ಹೊಗೆ	V	 	2R	2F	9S
ಹೊಗೆಯಲ್ಲಿಯೇ	A				
ಹೊಟ್ಟೆ	N	X	12		
ಹೊಡಿ	V	 	2R	2F	9S
ಹೊಡೆ	V	 	2R	2F	9S
ಹೊಡೆಸು	V	 	1R	1F	9S
ಹೊತ್ತಿಸು	V	 	1R	1F	9S
ಹೊತ್ತು	V	 	1R	1F	7S
ಹೊತ್ತು	V	 	1R	1F	9S
ಹೊದಿಸು	V	 	1R	1F	9S
ಹೊದೆ	V	 	2R	2F	6S
ಹೊದ್ದಿಸು	V	 	1R	1F	9S
ಹೊರಚಲ್ಲು	V	 	1R	1F	9S
ಹೊರಡಿಸು	V	 	1R	1F	9S
ಹೊರಡು	V	 	1R	1F	9S
ಹೊರತೆಗೆ	V	 	2R	2F	9S
ಹೊರಬರು	V	 	1R	1F	1S
ಹೊರಬಿಡು	V	 	1R	1F	5S
ಹೊರಳಿಸು	V	 	1R	1F	9S
ಹೊರಳು	V	 	1R	1F	9S
ಹೊರಹಾಕು	V	 	1R	1F	9S
ಹೊರಿಸು	V	 	1R	1F	9S
ಹೊರು	V	 	1R	1F	4S
ಹೊರೆ	V	 	2R	1F	4S
ಹೊರೆಸು	V	 	1R	1F	9S
ಹೊಲಿ	V	 	2R	2F	9S
ಹೊಲಿಸು	V	 	1R	1F	9S
ಹೊಲೆ	V	 	2R	2F	9S
ಹೊಲೆಯಿಸು	V	 	1R	1F	9S
ಹೊಳೆ	V	 	2R	2F	9S
ಹೋಗಿ	V	 	1R	1F	9S
ಹೋಗಿ	V	 	2R	2F	6S
ಹೋಗಿಬಿಡು	V	 	1R	1F	5S
ಹೋಗು	V	 	1R	1F	9S
ಹೋರಾಡು	V	 	1R	1F	9S
ಹೋರು	V	 	1R	1F	4S
ಅಂಜು	V	 	2R	2F	10S
ವಾರ 	N	X	12		
ಮಹಾಸ್ವಾಮೀ	N	M	12		
ರೋಲದೇವ	N	M	1		
ಚಿತ್ರ	N	X	5		
ಬರೆ	V	 	2R	2F	9S
ಗಳಿಸು	V	 	1R	1F	9S
ಕೊಟ್ಟ	V	 	1R	1F	5S
ತಮ್ಮ		N	M	1		
ಅವಕಾಶ	A								
ತೋರಿಸು	V	 	1R	1F	9S
ಚಿತ್ರಕಾರ	N	M	1		
ಇಲ್ಲಿ	A				
ಬರಿ	V	 	2R	2F	9S
ರಾಜ	N	M	1		
ಬರೆ	V	 	2R	2F	9S
ಬಂದು	V	 	1R	1F	9S
ಸಭಿಕ	N	X	2		
ಹೊಗಳು	V	 	1R	1F	9S
ಹೊಗಳಿ	V	 	1R	1F	9S
ನೋಡಿ	V	 	1R	1F	9S			
ಹಾಗಾದರೆ	A				
ಸೇವೆ	V	 	1R	1F	9S
ಸಂತೋಷ		V	 	1R	1F	9S
ಸಭಿಕ	N	X	1		
ಚಿತ್ರಗಳ	N	X	1		
ನೋಡಿ	V	 	2R	2F	9S
 ಚಿತ್ರಗಳನ಼್	N	X	2		
ಚಿತ್ರವನ್	N	X	2		
ಹೇಳಿ	V	 	2R	2F	9S
ನಮಸ್ಕಾರ	N	X	5		
ಕೌಶಲ	N	M	2		
ಒಂದೇ	N	X	12		
ಭಾವಪೂರ್ಣ	N	X	5		
ವರ್ಣರಂಜಿತ	N	X	5		
ಸಂತೋಷವಾ	N	X	12		
