WORD	GRAMMATICAL_CATEGORY	GENDER	PRESENT_TENSE_CATEGORY	FUTURE_TENSE_CATEGORY	PAST_TENSE_CATEGORY
ಉದ್ರಿಕ್ತ 	J				
ಉದ್ವಿಗ್ನ	J				
ಉನ್ಮುಖ 	J				
ಉಪಕರಣ	N	N	5		
ಉಪದೇಶ	V	 	1R	1F	9S
ಉಪನಯನ 	N	N	5		
ಉಪಯುಕ್ತ 	J				
ಉಪರಿ	J				
ಉಪರಿ 	N	N	10		
ಉಪಲಬ್ಧ 	J				
ಉಪಸ್ಥಿತ	J				
ಉಪಾದೇಯ 	J				
ಉಪಾಯ  	N	N	5		
ಉಪೇತ 	J				
ಉಪೇತ 	N	N	5		
ಉಪ್ಪವಡಿಸು	V		1R	1F	7S
ಉಪ್ಪೂರು	V	 	1R	1F	9S
ಉಬ್ಬರಿಸು  	V		1R	1F	7S
ಉಬ್ಬು	V	 	1R	1F	7S
ಉಬ್ಬು	V	 	1R	1F	9S
ಉಬ್ಬು 	V		1R	1F	9S
ಉಮ್ಮಳಿಸ	V	 	1R	1F	9S
ಉರಿ	V	 	2R	2F	9S
ಉರಿಪು  	V		1R	1F	7S
ಉರಿಸು	V	 	1R	1F	9S
ಉರುಟಣೆ 	N	N	7		
ಉರುಳಿಸು	V	 	1R	1F	9S
ಉರುಹೊಡಿ	V	 	2R	2F	9S
ಉಲುಗು 	N	N	6		
ಉಲ್ಲೇಖ	N	N	5		
ಉಲ್ಲೇಖಿಸು  	V		1R	1F	7S
ಉಳಿಸು	V	 	1R	1F	9S
ಉಳು	V		1R	1F	7S
ಉಳು	V	 	1R	1F	4S
ಉಳು	V	 	1R	1F	9S
ಉಳ್ಳಿ  	N	N	6		
ಉಸಿರಾಡು	V	 	1R	1F	9S
ಉಸಿರೆತ್ತು 	V		1R	1F	7S
ಊಟ  	N	N	5		
ಊಡು 	V		1R	1F	7S
ಊದಾ 	N	N	10		
ಊದು	V	 	1R	1F	9S
ಊದು  	V		1R	1F	7S
ಊಪಾರ 	N	N	5		
ಊರ್ಜಿತ 	J				
ಊರ್ದ್ವ	J				
ಊಳಿಸು	V	 	1R	1F	9S
ಊಳು	V	 	1R	1F	9S
ಊಸರವಳ್ಳಿ 	N	N	7		
ಊಹಿಸು	V	 	1R	1F	9S
ಊಹೆ  	N	N	7		
ಋಗ್ವೇದ	N	N	7		
ಋಜು  	J				
ಋತು	N	N	5		
ಋಷಿ 	N	N	7		
ಎಂಟು	N	N	11		
ಎಂತಪ್ಪ	J				
ಎಂತು	D				
ಎಂದಾಯಿತು	A				
ಎಂದು	A				
ಎಂದು  	N	M	10		
ಎಂಬ	A				
ಎಂಬುವವಳಿಗೆ	A				
ಎಕ್ಕ	N	N	5		
ಎಕ್ಕು 	V		1R	1F	7S
ಎಕ್ಕೆಕ್ಕೆ 	D				
ಎಗರಿಸು	V	 	1R	1F	9S
ಎಗರು  	V		1R	1F	7S
ಎಚ್ಚು  	V		1R	1F	7S
ಎಟುಕು  	V		1R	1F	7S
ಎಡ 	N	N	5
ಎಡ 	N	N	5		
ಎಡತಾಕು  	V		1R	1F	7S
ಎಡವಟ್ಟು	N	N	10		
ಎಡವು 	V		1R	1F	7S
ಎಡೆ 	N	N	7		
ಎಡೆದು	V	 	2R	2F	9S
ಎಡೆಮಡಗು  	V		1R	1F	7S
ಎಣಿಸು	V	 	1R	1F	9S
ಎಣ್ಣೆಗಾಯಿ  	N	N	7		
ಎತ್ತರ  	N	N	5		
ಎತ್ತರಿಸು	V	 	1R	1F	9S
ಎತ್ತಾಡು	V		1R	1F	7S
ಎತ್ತು	V	 	1R	1F	6S
ಎತ್ತು	V	 	1R	1F	9S
ಎತ್ತು  	N	N	6		
ಎದರು	V	 	1R	1F	9S
ಎದುರು	V	 	1R	1F	9S
ಎದ್ದು	V	 	1R	1F	6S
ಎದ್ದುನಿಲ್ಲು	V	 	1R	1F	9S
ಎನಸುಂ 	D				
ಎನ್ನ 	J				
ಎನ್ನು	V	 	1R	1F	9S
ಎನ್ನುತ್ತಾ	A				
ಎಬ್ಬಿಸು	V	 	1R	1F	7S
ಎಯ್ದು 	V		1R	1F	6S
ಎಯ್ದೆ	D				
ಎರಗು	V	 	1R	1F	9S
ಎರಗು  	V		1R	1F	7S
ಎರಚು	V		1R	1F	7S
ಎರಚು	V	 	1R	1F	9S
ಎರೆ	V	 	2R	2F	9S
ಎಲೆ	V	 	2R	2F	9S
ಎಲೆ 	N	N	7		
ಎಳಲು 	V		1R	1F	7S
ಎಳಸು 	J				
ಎಳಿ	V	 	2R	2F	9S
ಎಳಿಸು	V	 	1R	1F	9S
ಎಳೆ	V	 	2R	2F	9S
ಎಳೆತ   	N	N	5		
ಎಳೆದು	V	 	2R	2F	9S
ಎಳೆದುತೆಗೆ	V	 	2R	2F	9S
ಎಸಗು	V		1R	1F	7S
ಎಸಗು 	N	N	6		
ಎಸು	V		1R	1F	7S
ಎಸೆ	V	 	2R	2F	9S
ಎಹಂಗೆ	D				
ಏಕ 	N	N	10		
ಏಕತ್ರ  	D				
ಏಕದಂತ 	N	M	1		
ಏಕಾಂತ 	N	N	5		
ಏಕಾಏಕಿ	D				
ಏಕಾಕಿ 	N	N	7		
ಏಕಾಗ್ರ 	J				
ಏಕೀಭವಿಸು	V		1R	1F	7S
ಏಕೆಂದರೆ	A				
ಏಡಿಸು 	V		1R	1F	7S
ಏರಿ 	N	N	5		
ಏರಿಸು	V	 	1R	1F	9S
ಏರಿಸು 	V		1R	1F	7S
ಏರು	V	 	1R	1F	9S
ಏರುಪೇರು 	N	N	11		
ಏರ್ಪಡಿಸು	V	 	1R	1F	9S
ಏಲಕ್ಕಿ  	N	N	7		
ಏಳಿಸು	V		1R	1F	7S
ಏಳು	V	 	1R	1F	6S
ಏಳು	V	 	1R	1F	9S
ಐಚ್ಚಿಕ 	J				
ಐತಿಹಾಸಿಕ	N	N	5		
ಐತಿಹಾಸಿಕ 	J				
ಐತಿಹ್ಯ  	N	N	5		
ಐನಾತಿ 	J				
ಐನಾತಿ 	N	F	7		
ಐಶ್ವರ್ಯ	N	X	5		
ಐಹಿಕ 	J				
ಒಂಟಿ  	N	N	7		
ಒಂಟು 	V		1R	1F	7S
ಒಂಟು 	V		1R	1F	7S`
ಒಕ್ಕಲಿಕ್ಕು	V		1R	1F	6S
ಒಕ್ಕು  	V		1R	1F	7S
ಒಗಡಿಸು  	V		1R	1F	7S
ಒಗೆ	V	 	2R	2F	9S
ಒಗೆ 	N	N	7		
ಒಗೆ  	V		2R	2F	9S
ಒಟ್ಟಾರೆ 	D				
ಒಡಂಬಡು	V		1R	1F	7S
ಒಡನೆ 	D				
ಒಡರ್ಚು	V		1R	1F	9S
ಒಡಿ	V	 	2R	2F	9S
ಒಡೆ	V	 	2R	2F	9S
ಒಡೆ 	V		2R	2F	9S
ಒಡೆದು	V	 	2R	2F	9S
ಒಡ್ಡು	V	 	1R	1F	9S
ಒಡ್ದ 	N	M	1		
ಒಣಕೆಮ್ಮು	V	 	1R	1F	9S
ಒಣಗು	V	 	1R	1F	9S
ಒಣಗು 	N	N	6		
ಒಣಗು 	V		1R	1F	8S
ಒತ್ತಡ 	N	N	5		
ಒತ್ತರಿಸು  	V		1R	1F	7S
ಒತ್ತು	V	 	1R	1F	9S
ಒದಗಿ	V	 	1R	1F	9S
ಒದಗು	V		1R	1F	7S
ಒದಗು	V	 	1R	1F	9S
ಒದರು	V	 	1R	1F	9S
ಒದರು 	V		1R	1F	7S
ಒದಿ	V	 	2R	2F	9S
ಒದೆ	V	 	2R	2F	6S
ಒದೆ	V	 	2R	2F	9S
ಒದ್ದಾಡು	V	 	1R	1F	9S
ಒನೆ  	V		2R	2F	9S
ಒಪ್ಪಮಾಡು	V		1R	1F	7S
ಒಪ್ಪು	V	 	1R	1F	9S
ಒಬ್ಬಟ್ಟು  	N	N	11		
ಒಮ್ಮೆ 	D				
ಒಮ್ಮೆಲೆ 	D				
ಒಯ್ಯನೆ 	D				
ಒಯ್ಯು	V	 	1R	1F	9S
ಒಯ್ಯೆಗೆ	D				
ಒರಗು	V	 	1R	1F	9S
ಒರಗು 	V		1R	1F	7S
ಒರಳು	V	 	1R	1F	9S
ಒರಸು 	V		1R	1F	7S
ಒರೆ	V	 	2R	2F	9S
ಒರೆಸು	V	 	1R	1F	9S
ಒಲಿ	N	N	5		
ಒಳಗೆ 	D				
ಒಳಗೆ 	N	N	10		
ಒಸೆ 	V		2R	2F	9S
ಓಗಡಿಸು  	V		1R	1F	7S
ಓಗರ 	N	N	5		
ಓಟ 	N	N	5		
