TOKEN_NO	TOKEN	PREFIX	STEM	SUFFIX	STATUS
81	ಬೆಂಕಿಗಾಗಿ	-	ಬೆಂಕಿಗಾಗಿ	-	Root word is not in the lexicon
82	ಕಾಯುತಾ	-	ಕಾಯುತಾ	-	Root word is not in the lexicon
83	ಗೂಡು	-	ಗೂಡು	-	Root word is not in the lexicon
84	ಕುಂತಿತು	ಕು	ಂತಿತು	-	Root word is not in the lexicon
84	ಕುಂತಿತು	ಕು	ಂತಿತು	-	Root word is not in the lexicon
85	ಚಲುವರಾಯಸೋಮಿ	-	ಚಲುವರಾಯಸೋಮಿ	-	Root word is not in the lexicon
87	ಮನ್ನಿಸಿಯಾನೆ	-	ಮನ್ನಿಸಿಯಾ	ನೆ	Root word is not in the lexicon
87	ಮನ್ನಿಸಿಯಾನೆ	-	ಮನ್ನಿಸಿಯಾ	ನೆ	Root word is not in the lexicon
89	ಕಿತುಕೊಂಡ	-	ಕಿತುಕೊಂಡ	-	Root word is not in the lexicon
90	ಏನಿವನಾಟ	-	ಏನಿವನಾಟ	-	Root word is not in the lexicon
91	ಇನ್ಯಾರ	-	ಇನ್ಯಾ	ರ	Root word is not in the lexicon
91	ಇನ್ಯಾರ	-	ಇನ್ಯಾ	ರ	Root word is not in the lexicon
91	ಇನ್ಯಾರ	-	ಇನ್ಯಾ	ರ	Root word is not in the lexicon
92	ನೆನೆಯೋದು	-	ನೆನೆಯೋ	ದು	Root word is not in the lexicon
92	ನೆನೆಯೋದು	-	ನೆನೆಯೋ	ದು	Root word is not in the lexicon
93	ಯಾಕಾಗಿ	-	ಯಾಕಾಗಿ	-	Root word is not in the lexicon
95	ಗೂಡಿಗೆ	-	ಗೂಡಿ	ಗೆ	Root word is not in the lexicon
95	ಗೂಡಿಗೆ	-	ಗೂಡಿ	ಗೆ	Root word is not in the lexicon
96	ಬೆಂಕಿ	-	ಬೆಂಕಿ	-	Root word is not in the lexicon
97	ಹಾಕ್್ಬೇಕು	-	ಹಾಕ್್ಬೇಕು	-	Root word is not in the lexicon
